,publisher,genre,follows,followed by,part of the series,instance of,author,title,series ordinal,language of work or name,country of origin,derivative work,OCLC work ID,NooSFere book ID,publication date,Freebase ID,Open Library ID,has edition,OCLC control number,ISBN-13,page(s),original language of film or TV show,narrative location,ISBN-10,copyright status,characters,Internet Archive ID,main subject,NNL work ID,official website,set in period,distribution format,country,LibraryThing work ID,number of pages,subtitle,place of publication,Goodreads book ID,edition number,Google Books ID,described at URL,VIAF ID,Google Knowledge Graph ID,Babelio work ID,DNB editions,Wolfram Language entity code,illustrator,Library of Congress authority ID,ISFDB title ID,has part,image,inception,award received,GND ID,edition or translation of,editor,number of parts of this work of art,distributor,issue,full work available at,scanned file on Wikimedia Commons,BVMC work ID,SUDOC editions,Bibliothèque nationale de France ID,part of,volume,published in,takes place in fictional universe,copyright license,Commons category
149,Fireside,encyclopedia,,,,book,Loren Coleman,Cryptozoology A to Z,,English,,,,,2014-01-01T00:00:00Z,,,,893137370,,,,,,,,cryptozoologytoz00lore,cryptozoology,,,,,,,270,"the encyclopedia of loch monsters, Sasquatch, Chupacabras, and other authentic mysteries of nature",New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Fireside,encyclopedia,,,,book,Loren Coleman,Cryptozoology A to Z,,English,,,,,2014-01-01T00:00:00Z,,,,893137370,,,,,,,,cryptozoologytoz00lore,cryptozoology,,,,,,,270,"the encyclopedia of loch monsters, Sasquatch, Chupacabras, and other authentic mysteries of nature",New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,children's book,,Q79747465,Q79747385,book,Oliver Pötzsch,,1,,,,,,2014-09-17T00:00:00Z,,,,,,,German,,,,,,Middle Ages,,http://oliver-poetzsch.de/ritter-kuno-kettenstrumpf/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,non-fiction book,,,,book,Helmut Plath,,,,,,,,1962-01-01T00:00:00Z,,,,,,,German,,,,,,Leineschloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,non-fiction book,,,,book,Helmut Plath,,,,,,,,1962-01-01T00:00:00Z,,,,,,,German,,,,,,Leineschloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,non-fiction,,,,book,Magnus Mali,,,Finnish,,,,,2019-09-01T00:00:00Z,,,,,978-951-1-34713-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,romance novel,Sinking Ships,,Q79845875,book,Tami Fischer,,3,,,,,,2020-07-01T00:00:00Z,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,romance novel,,Sinking Ships,Q79845875,book,Tami Fischer,,1,,,,,,2019-10-01T00:00:00Z,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,romance novel,Beautiful Disaster,Beautiful Wedding,Q79959870,book,Jamie McGuire,,2,,,,,,,,,,,,,English,,,,,,,,https://www.jamiemcguire.com/walkingdisaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,historical novel,,Q79963259,Q79962921,book,Oliver Pötzsch,,1,,,,,,2015-09-03T00:00:00Z,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
