,publisher,genre,follows,followed by,part of the series,instance of,author,title,series ordinal,language of work or name,country of origin,derivative work,OCLC work ID,NooSFere book ID,publication date,Freebase ID,Open Library ID,has edition,OCLC control number,ISBN-13,page(s),original language of film or TV show,narrative location,ISBN-10,copyright status,characters,Internet Archive ID,main subject,NNL work ID,official website,set in period,distribution format,country,LibraryThing work ID,number of pages,subtitle,place of publication,Goodreads book ID,edition number,Google Books ID,described at URL,VIAF ID,Google Knowledge Graph ID,Babelio work ID,DNB editions,Wolfram Language entity code,illustrator,Library of Congress authority ID,ISFDB title ID,has part,image,inception,award received,GND ID,edition or translation of,editor,number of parts of this work of art,distributor,issue,full work available at,scanned file on Wikimedia Commons,BVMC work ID,SUDOC editions,Bibliothèque nationale de France ID,part of,volume,published in,takes place in fictional universe,copyright license,Commons category
90,,biography,,,,book,Q82782346,,,,,,,,2007-10-01T00:00:00Z,,,,,,,German,,,,,,Werner Töniges,,https://www.verlagshaus.com/index.php?id=detail&tt_products%5Bcat%5D=21&tt_products%5Bbegin_at%5D=60&tt_products%5BbackPID%5D=144&tt_products%5Bproduct%5D=1320&cHash=2d4323c464618addd07f793fc9bb9f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,graphic novel,,,,book,Ken Krimstein,The Three Escapes of Hannah Arendt,,English,United States of America,,,,2018-01-01T00:00:00Z,,OL19753284W,,,,,English,,,,,,Hannah Arendt,,,,,,22063063,,A Tyranny of Truth,,37941885,,,,6411157527273327300006,/g/11h1l8xgyr,483273,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,biography,,,,book,Hans-Joachim Röll,,,,,,,,2016-09-19T00:00:00Z,,,,,,,German,,,,,,German submarine U-60 (1939),,https://www.verlagshaus.com/index.php?id=detail&tt_products%5Bcat%5D=11&tt_products%5Bbegin_at%5D=80&tt_products%5BbackPID%5D=80&tt_products%5Bproduct%5D=2042&cHash=1e5cad32fb0b65ff9eafff06f8e4a9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,non-fiction book,,,,book,Hans-Joachim Röll,,,,,,,,2015-05-31T00:00:00Z,,,,,,,German,,,,,,Günther Hessler,,https://www.verlagshaus.com/index.php?id=detail&tt_products%5Bcat%5D=11&tt_products%5Bbegin_at%5D=80&tt_products%5BbackPID%5D=80&tt_products%5Bproduct%5D=2043&cHash=1de1da095c435668340127cb637ce4e5,,,,,,,,,,,,,,,1066265836,,,,,,,,,,,,,,,,,,,,,,,,,
94,,historiography,,,,book,Hans-Joachim Röll,,,,,,,,,,,,,,,German,,,,,,submarine warfare,,https://www.verlagshaus.com/index.php?id=detail&tt_products%5Bcat%5D=11&tt_products%5Bbegin_at%5D=70&tt_products%5BbackPID%5D=80&tt_products%5Bproduct%5D=1673&cHash=f69303b2c3f03aa42746094545386c7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,historiography,,,,book,Hans-Joachim Röll,,,,,,,,2008-11-01T00:00:00Z,,,,,,,German,,,,,,German submarine U-1223,,https://www.verlagshaus.com/index.php?id=detail&tt_products%5Bcat%5D=11&tt_products%5Bbegin_at%5D=70&tt_products%5BbackPID%5D=80&tt_products%5Bproduct%5D=1335&cHash=765e9d9ee6cadf38b279d80a0fe4dcea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,biography,,,,book,Hans-Joachim Röll,,,,,,,,2014-05-09T00:00:00Z,,,,,,,German,,,,,,Joachim Müncheberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,historiography,,,,book,Hans-Joachim Röll,,,,,,,,2014-05-09T00:00:00Z,,,,,,,German,,,,,,Heinz Strüning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,biography,,,,book,Hans-Joachim Röll,,,,,,,,2014-12-05T00:00:00Z,,,,,,,German,,,,,,Hans Döbrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,biography,,,,book,Hans-Joachim Röll,,,,,,,,2011-11-05T00:00:00Z,,,,,,,German,,,,,,Hyazinth Graf Strachwitz von Gross-Zauche und Camminetz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,historiography,,,,book,Hans-Joachim Röll,,,,,,,,,,,,,,,German,,,,,,German submarine U-87,,https://www.verlagshaus.com/index.php?id=detail&tt_products%5Bcat%5D=11&tt_products%5Bbegin_at%5D=80&tt_products%5BbackPID%5D=80&tt_products%5Bproduct%5D=2271&cHash=014803d5bc77ff9078802b2974ffee56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
